id,nama,kategori
607,Kacang gude rebus,Makanan dan Minuman
608,Kacang hijau kering,Makanan dan Minuman
609,kacang hijau rebus,Makanan dan Minuman
610,Kacang hijau var. bakti kering,Makanan dan Minuman
611,Kacang hijau var. siwalik kering,Makanan dan Minuman
612,Kacang hitam kering,Makanan dan Minuman
613,Kacang Ijo,Makanan dan Minuman
614,Kacang Kapri Goreng ,Makanan dan Minuman
615,Kacang Kapri muda,Makanan dan Minuman
616,Kacang Kedelai basah,Makanan dan Minuman
617,Kacang kedelai goreng,Makanan dan Minuman
618,Kacang kedelai kering,Makanan dan Minuman
619,Kacang Kedelai kukus,Makanan dan Minuman
620,Kacang kedelai rebus,Makanan dan Minuman
621,Kacang kedelai segar,Makanan dan Minuman
622,Kacang komak segar,Makanan dan Minuman
623,Kacang kuning kering,Makanan dan Minuman
624,Kacang lebui /iris kering,Makanan dan Minuman
625,Kacang mekah polong segar,Makanan dan Minuman
626,Kacang mentega kering,Makanan dan Minuman
627,Kacang Merah,Makanan dan Minuman
628,Kacang merah /banda kering,Makanan dan Minuman
629,Kacang merah kering,Makanan dan Minuman
630,Kacang Merah kering rebus,Makanan dan Minuman
631,Kacang merah segar,Makanan dan Minuman
632,Kacang Merah segar rebus,Makanan dan Minuman
633,Kacang merah tua kering,Makanan dan Minuman
634,Kacang mete/biji jambu monyet goreng,Makanan dan Minuman
635,Kacang mete/biji jambu monyet segar,Makanan dan Minuman
636,Kacang negara,Makanan dan Minuman
637,Kacang Panjang,Makanan dan Minuman
638,Kacang Panjang biji,Makanan dan Minuman
639,Kacang Panjang kukus,Makanan dan Minuman
640,Kacang Panjang tumis,Makanan dan Minuman
641,Kacang ranti polong,Makanan dan Minuman
642,Kacang sukro,Makanan dan Minuman
643,Kacang Sukro Putih ,Makanan dan Minuman
644,Kacang Tanah atom,Makanan dan Minuman
645,Kacang tanah goreng,Makanan dan Minuman
646,Kacang Tanah kacang sari,Makanan dan Minuman
647,Kacang tanah kering,Makanan dan Minuman
648,Kacang Tanah Rebus ,Makanan dan Minuman
649,Kacang Tanah rebus berkulit,Makanan dan Minuman
650,Kacang Tanah rempeyek,Makanan dan Minuman
651,Kacang Tanah sangan berselaput,Makanan dan Minuman
652,Kacang tanah sangan tanpa selaput,Makanan dan Minuman
653,Kacang tanah sari,Makanan dan Minuman
654,Kacang Telur ,Makanan dan Minuman
655,Kacang tolo / tunggak kering,Makanan dan Minuman
656,Kacang tolo rebus,Makanan dan Minuman
657,Kacang Tunggak (tolo),Makanan dan Minuman
658,Kacang Tunggak rebus,Makanan dan Minuman
659,Kacang Tunggak rempeyek,Makanan dan Minuman
660,Kacang tunis kering,Makanan dan Minuman
661,Kacang uci kering,Makanan dan Minuman
662,Kacang urei kering,Makanan dan Minuman
663,Kadada katembe,Makanan dan Minuman
664,Kaholeo masakan,Makanan dan Minuman
665,Kakap,Makanan dan Minuman
666,Kalakai,Makanan dan Minuman
667,Kalio jeroan masakan,Makanan dan Minuman
668,Kalio kikil (tunjang) masakan,Makanan dan Minuman
669,Kalio otak masakan,Makanan dan Minuman
670,Kalio telur masakan,Makanan dan Minuman
671,Kambing daging segar,Makanan dan Minuman
672,Kambose,Makanan dan Minuman
673,Kangkung,Makanan dan Minuman
674,Kangkung kukus,Makanan dan Minuman
675,Kangkung rebus,Makanan dan Minuman
676,Kangkung tondano,Makanan dan Minuman
677,Kangkung tumis,Makanan dan Minuman
678,Kaparende sayur,Makanan dan Minuman
679,Kapri Muda,Makanan dan Minuman
680,Kapurung,Makanan dan Minuman
681,Kapusa,Makanan dan Minuman
682,Karawila,Makanan dan Minuman
683,Karedok ,Makanan dan Minuman
684,Karedok sayur,Makanan dan Minuman
685,Karoket ,Makanan dan Minuman
686,Katak,Makanan dan Minuman
687,Katul Beras,Makanan dan Minuman
688,Katul Jagung,Makanan dan Minuman
689,Kawista segar,Makanan dan Minuman
690,Kecap,Makanan dan Minuman
691,Kecimpring singkong goreng,Makanan dan Minuman
692,Kecipir biji,Makanan dan Minuman
693,Kecipir buah muda,Makanan dan Minuman
694,Kecipir muda segar,Makanan dan Minuman
695,Kecombrang segar,Makanan dan Minuman
696,Kedondong segar ,Makanan dan Minuman
697,Keju,Makanan dan Minuman
698,Keju Kacang Tanah,Makanan dan Minuman
699,Kelapa hutan kering,Makanan dan Minuman
700,Kelapa Muda air,Makanan dan Minuman
701,Kelapa Muda daging,Makanan dan Minuman
702,Kelapa Setengah Tua daging,Makanan dan Minuman
703,Kelapa Tua daging,Makanan dan Minuman
704,Kelepon ,Makanan dan Minuman
705,Kelewih,Makanan dan Minuman
706,Kelinci daging segar,Makanan dan Minuman
707,Kemang,Makanan dan Minuman
708,Kembang tahu,Makanan dan Minuman
709,Kembang Turi,Makanan dan Minuman
710,Kemiri,Makanan dan Minuman
711,Kenari,Makanan dan Minuman
712,Kenari banda kering,Makanan dan Minuman
713,Kentang,Makanan dan Minuman
714,Kentang Hitam,Makanan dan Minuman
715,Keong,Makanan dan Minuman
716,Kepala Susu (Krim),Makanan dan Minuman
717,Kepiting,Makanan dan Minuman
718,Kerang,Makanan dan Minuman
719,Kerang asap mentah,Makanan dan Minuman
720,Kerang dendeng mentah,Makanan dan Minuman
721,Kerbau daging segar,Makanan dan Minuman
722,Keremes,Makanan dan Minuman
723,Keribang ubi segar,Makanan dan Minuman
724,Keripik bayam,Makanan dan Minuman
725,Keripik gadung,Makanan dan Minuman
726,Keripik kentang,Makanan dan Minuman
727,Keripik lampung,Makanan dan Minuman
728,Keripik oncom,Makanan dan Minuman
729,Keripik singkong,Makanan dan Minuman
730,Keripik singkong berbumbu,Makanan dan Minuman
731,Keripik tempe,Makanan dan Minuman
732,Keripik tempe abadi murni,Makanan dan Minuman
733,Keripik tempe abadi sedang,Makanan dan Minuman
734,Keripik tempe abadi telur,Makanan dan Minuman
735,Keripik ubi,Makanan dan Minuman
736,Kerokot segar,Makanan dan Minuman
737,Kerupuk Aci,Makanan dan Minuman
738,Kerupuk cumi goreng,Makanan dan Minuman
739,Kerupuk Ikan berpati,Makanan dan Minuman
740,Kerupuk kemplang  (ikan) mentah,Makanan dan Minuman
741,Kerupuk kemplang goreng,Makanan dan Minuman
742,Kerupuk kemplang panggang,Makanan dan Minuman
743,Kerupuk Kulit kerbau,Makanan dan Minuman
744,Kerupuk Melinjo mentah,Makanan dan Minuman
745,Kerupuk Melinjo tebal goreng asin,Makanan dan Minuman
746,Kerupuk Melinjo tebal goreng manis,Makanan dan Minuman
747,Kerupuk Melinjo tipis goreng,Makanan dan Minuman
748,Kerupuk mie kuning goreng,Makanan dan Minuman
749,Kerupuk Sayong ,Makanan dan Minuman
750,Kerupuk Udang ,Makanan dan Minuman
751,Kerupuk Udang berpati,Makanan dan Minuman
752,Kerupuk udang goreng,Makanan dan Minuman
753,Kerupuk urat,Makanan dan Minuman
754,Kesemek,Makanan dan Minuman
755,Ketan hitam matang,Makanan dan Minuman
756,Ketan putih matang,Makanan dan Minuman
757,Ketapang ,Makanan dan Minuman
758,Ketela Pohon Kuning,Makanan dan Minuman
759,Ketela singkong segar,Makanan dan Minuman
760,Ketela pohon/singkong kukus,Makanan dan Minuman
761,Ketimun,Makanan dan Minuman
762,Ketimun madura segar,Makanan dan Minuman
763,Ketoprak,Makanan dan Minuman
764,Ketumbar,Makanan dan Minuman
765,Ketupat ketan,Makanan dan Minuman
766,Ketupat Tahu ,Makanan dan Minuman
767,Kluwek,Makanan dan Minuman
768,Kodok segar,Makanan dan Minuman
769,Kokosan,Makanan dan Minuman
770,Komak polong segar,Makanan dan Minuman
771,Kool Kembang,Makanan dan Minuman
772,Kool Merah kool putih,Makanan dan Minuman
773,Kopi bagian yang larut,Makanan dan Minuman
774,Kopi bubuk instant,Makanan dan Minuman
775,Koro andong kering,Makanan dan Minuman
776,Koro Benguk biji,Makanan dan Minuman
777,Koro Benguk tempe,Makanan dan Minuman
778,Koro Kerupuk biji,Makanan dan Minuman
779,Koro Loke biji,Makanan dan Minuman
780,Koro Roway biji,Makanan dan Minuman
781,Koro Wedus biji,Makanan dan Minuman
782,Koro Wedus buah muda,Makanan dan Minuman
783,Koro wedus polong,Makanan dan Minuman
784,Kotiu hinela tawang nggole,Makanan dan Minuman
785,Koya,Makanan dan Minuman
786,Koya mirasa,Makanan dan Minuman
787,Kranji segar,Makanan dan Minuman
788,Kripik Tempe Goreng ,Makanan dan Minuman
789,Krokot,Makanan dan Minuman
790,Kucai,Makanan dan Minuman
791,Kucai Muda (Lokio),Makanan dan Minuman
792,Kuda daging segar,Makanan dan Minuman
793,Kue ali,Makanan dan Minuman
794,Kue Apem ,Makanan dan Minuman
795,Kue bangket,Makanan dan Minuman
796,Kue Bugis ,Makanan dan Minuman
797,Kue jahe,Makanan dan Minuman
798,Kue kelapa,Makanan dan Minuman
799,Kue Koya ,Makanan dan Minuman
800,Kue lumpur,Makanan dan Minuman
801,Kue mangkok ,Makanan dan Minuman
802,Kue Pacar Cina ,Makanan dan Minuman
803,Kue Pia ,Makanan dan Minuman
804,Kue putu cangkir,Makanan dan Minuman
805,Kue putu singkong,Makanan dan Minuman
806,Kue Satu ,Makanan dan Minuman
807,Kue Semprong ,Makanan dan Minuman
808,Kue sus,Makanan dan Minuman
809,Kue Talam ,Makanan dan Minuman
810,Kue Tambang ,Makanan dan Minuman
811,Kue thipan,Makanan dan Minuman
812,Kulit melinjo,Makanan dan Minuman
813,Kundur segar,Makanan dan Minuman
814,Kunyit,Makanan dan Minuman
815,Kura-kura,Makanan dan Minuman
816,Kwaci,Makanan dan Minuman
817,Kwark (Quark),Makanan dan Minuman
818,Labu Air,Makanan dan Minuman
819,Labu kuning segar,Makanan dan Minuman
820,Labu Siam,Makanan dan Minuman
821,Labu waluh segar,Makanan dan Minuman
822,Laksa ,Makanan dan Minuman
823,Lamtoro (pete cina) biji muda,Makanan dan Minuman
824,Lamtoro biji tua,Makanan dan Minuman
825,Lamtoro tempe,Makanan dan Minuman
826,Lamtoro var. gung tanpa kulit,Makanan dan Minuman
827,Lamtoro var. lokal dengan kulit,Makanan dan Minuman
828,Langsat,Makanan dan Minuman
829,Lantar segar,Makanan dan Minuman
830,Lanting getuk,Makanan dan Minuman
831,Lapis legit,Makanan dan Minuman
832,Lawar babi masakan,Makanan dan Minuman
833,Lawar penyu masakan,Makanan dan Minuman
834,Lawara jangang masakan,Makanan dan Minuman
835,Lawara penjah masakan,Makanan dan Minuman
836,Ledre pisang,Makanan dan Minuman
837,Lema/ Rebung asam,Makanan dan Minuman
838,Lemak Babi,Makanan dan Minuman
839,Lemak Babi (Bacon),Makanan dan Minuman
840,Lemak ikan,Makanan dan Minuman
841,Lemak Kerbau,Makanan dan Minuman
842,Lemon segar,Makanan dan Minuman
843,Lemon Squasih,Makanan dan Minuman
844,Lemonade,Makanan dan Minuman
845,Lemper ,Makanan dan Minuman
846,Lempog durian,Makanan dan Minuman
847,Lepok/Ubi rumput,Makanan dan Minuman
848,Leunca buah,Makanan dan Minuman
849,Leupeut Ketan ,Makanan dan Minuman
850,Leverwost (sosis hati),Makanan dan Minuman
851,Lilin bungkus gedi,Makanan dan Minuman
852,Lobak,Makanan dan Minuman
853,Lokan segar,Makanan dan Minuman
854,Lontar segar,Makanan dan Minuman
855,Lopis ,Makanan dan Minuman
856,Lumai/Leunca segar,Makanan dan Minuman
857,Lupis ketan,Makanan dan Minuman
858,Madu,Makanan dan Minuman
859,Maizena tepung,Makanan dan Minuman
860,Makaroni,Makanan dan Minuman
861,Mangga benggala segar,Makanan dan Minuman
862,Mangga Gedong,Makanan dan Minuman
863,Mangga Golek,Makanan dan Minuman
864,Mangga Harum Manis,Makanan dan Minuman
865,Mangga Indramayu,Makanan dan Minuman
866,Mangga Kopek,Makanan dan Minuman
867,Mangga kwini segar,Makanan dan Minuman
868,Mangga manalagi segar,Makanan dan Minuman
869,Mangga Muda,Makanan dan Minuman
870,Mangga segar,Makanan dan Minuman
871,Manggis,Makanan dan Minuman
872,Margarin,Makanan dan Minuman
873,Markisa segar,Makanan dan Minuman
874,Markisa squash,Makanan dan Minuman
875,Markisa squash BD,Makanan dan Minuman
876,Martabak  manis,Makanan dan Minuman
877,Martabak india,Makanan dan Minuman
878,Martabak mesir,Makanan dan Minuman
879,Martabak Telur ,Makanan dan Minuman
880,Masekat,Makanan dan Minuman
881,Matoa segar,Makanan dan Minuman
882,Melase,Makanan dan Minuman
883,Melinjo,Makanan dan Minuman
884,Melon segar,Makanan dan Minuman
885,Menjangan daging dendeng mentah,Makanan dan Minuman
886,Mentega,Makanan dan Minuman
887,Menteng,Makanan dan Minuman
888,Merica,Makanan dan Minuman
889,Mi basah,Makanan dan Minuman
890,Mi golosor,Makanan dan Minuman
891,Mi kering,Makanan dan Minuman
892,Mie aceh rebus,Makanan dan Minuman
893,Mie ayam,Makanan dan Minuman
894,Mie bakso,Makanan dan Minuman
895,Mie basah,Makanan dan Minuman
896,Mie Bendo,Makanan dan Minuman
897,Mie celon,Makanan dan Minuman
898,Mie Goreng ,Makanan dan Minuman
899,Mie kering,Makanan dan Minuman
900,Mie pangsit basah,Makanan dan Minuman
901,Mie Sagu,Makanan dan Minuman
902,Minyak Hati Hiu (Eulamia),Makanan dan Minuman
903,Minyak Ikan,Makanan dan Minuman
904,Minyak Kacang Tanah,Makanan dan Minuman
905,Minyak kedelai,Makanan dan Minuman
906,Minyak Kelapa,Makanan dan Minuman
907,Minyak Kelapa Sawit,Makanan dan Minuman
908,Minyak Wijen,Makanan dan Minuman
909,Minyak Zaitun,Makanan dan Minuman
910,Misoa,Makanan dan Minuman
911,Misro ,Makanan dan Minuman
912,Moon tahu,Makanan dan Minuman
913,Mostarda metan -sawi,Makanan dan Minuman
914,Mujahir acar kuning masakan,Makanan dan Minuman
915,Naan maran sapi masakan,Makanan dan Minuman
916,Nanas,Makanan dan Minuman
917,Nanas palembang segar,Makanan dan Minuman
918,Nangka biji,Makanan dan Minuman
919,Nangka masak di pohon,Makanan dan Minuman
920,Nangka Muda,Makanan dan Minuman
921,Nasi,Makanan dan Minuman
922,Nasi beras merah,Makanan dan Minuman
923,Nasi gemuk,Makanan dan Minuman
924,Nasi Goreng ,Makanan dan Minuman
925,Nasi gurih,Makanan dan Minuman
926,Nasi jagung,Makanan dan Minuman
927,Nasi minyak,Makanan dan Minuman
928,Nasi rames,Makanan dan Minuman
929,Nasi tim,Makanan dan Minuman
930,Nasi Uduk ,Makanan dan Minuman
931,Nasu likku masakan,Makanan dan Minuman
932,Noga Kacang Tanah ,Makanan dan Minuman
933,Nopia spesial,Makanan dan Minuman
934,Olah-olah,Makanan dan Minuman
935,Oncom,Makanan dan Minuman
936,Oncom ampas kacang hijau,Makanan dan Minuman
937,Oncom Goreng ,Makanan dan Minuman
938,Oncom Hitam Goreng ,Makanan dan Minuman
939,Oncom Hitam Goreng bertepung ,Makanan dan Minuman
940,Oncom kacang hijau + singkong,Makanan dan Minuman
941,Oncom Kacang Tanah pepes,Makanan dan Minuman
942,Oncom Kedele,Makanan dan Minuman
943,Oncom Merah Goreng ,Makanan dan Minuman
944,Oncom Merah Goreng bertepung ,Makanan dan Minuman
945,Oncom Merah Sayur (tumis) ,Makanan dan Minuman
946,Oncom pepes,Makanan dan Minuman
947,Onde-onde ,Makanan dan Minuman
948,Ongol-ongol ,Makanan dan Minuman
949,Ongol-ongol sagu,Makanan dan Minuman
950,Opak Singkong ,Makanan dan Minuman
951,Oramu ninahu ndawa olaho masakan,Makanan dan Minuman
952,Otak,Makanan dan Minuman
953,Oyek,Makanan dan Minuman
954,Oyek (dari singkong),Makanan dan Minuman
955,Paku hinela wulelenggapaya,Makanan dan Minuman
956,Pala biji,Makanan dan Minuman
957,Pala daging,Makanan dan Minuman
958,Paniki masak santan masakan,Makanan dan Minuman
959,Papais ,Makanan dan Minuman
960,Papeda,Makanan dan Minuman
961,Parede baleh masakan,Makanan dan Minuman
962,Paria (Pare),Makanan dan Minuman
963,Paria Putih kukus,Makanan dan Minuman
964,Paria putih segar,Makanan dan Minuman
965,Pastel,Makanan dan Minuman
966,Pati Singkong (tapioka),Makanan dan Minuman
967,Pe-Cay,Makanan dan Minuman
968,Peda Ikan Banjar,Makanan dan Minuman
969,Pelecing kangkung,Makanan dan Minuman
970,Pelepah manuk masakan,Makanan dan Minuman
971,Pempek adaan,Makanan dan Minuman
972,Pempek belida,Makanan dan Minuman
973,Pempek kapal selam,Makanan dan Minuman
974,Pempek kelesan,Makanan dan Minuman
975,Pempek kulit,Makanan dan Minuman
976,Pempek tenggiri,Makanan dan Minuman
977,Pencok lele masakan,Makanan dan Minuman
978,Penyu serapah masakan,Makanan dan Minuman
979,Pepare ular segar,Makanan dan Minuman
980,Pepaya lodeh,Makanan dan Minuman
981,Pepaya Muda,Makanan dan Minuman
982,Pepaya segar,Makanan dan Minuman
983,Pepea oncom ampas tahu,Makanan dan Minuman
984,Permen ,Makanan dan Minuman
985,Pete Segar,Makanan dan Minuman
986,Peterseli,Makanan dan Minuman
987,Petis Ikan,Makanan dan Minuman
988,Petis Udang,Makanan dan Minuman
989,Petis udang kering,Makanan dan Minuman
990,Petis udang pasta,Makanan dan Minuman
991,Pilus ,Makanan dan Minuman
992,Pinda masakan,Makanan dan Minuman
993,Pindang Ikan Banjar,Makanan dan Minuman
994,Pindang Ikan Benggol,Makanan dan Minuman
995,Pindang Ikan Layang,Makanan dan Minuman
996,Pindang Ikan Selar Kecil,Makanan dan Minuman
997,Pindang kenari masakan,Makanan dan Minuman
998,Pisang Ambon,Makanan dan Minuman
999,Pisang angleng (pisang ampyang) segar,Makanan dan Minuman
1000,Pisang ayam segar,Makanan dan Minuman
1001,Pisang gapi segar ,Makanan dan Minuman
1002,Pisang Goreng ,Makanan dan Minuman
1003,Pisang goroho segar,Makanan dan Minuman
1004,Pisang hijau segar,Makanan dan Minuman
1005,Pisang kayu segar,Makanan dan Minuman
1006,Pisang kepok segar,Makanan dan Minuman
1007,Pisang ketip segar,Makanan dan Minuman
1008,Pisang kidang segar,Makanan dan Minuman
1009,Pisang Lampung,Makanan dan Minuman
1010,Pisang Mas,Makanan dan Minuman
1011,Pisang mas bali,Makanan dan Minuman
1012,Pisang Oli,Makanan dan Minuman
1013,Pisang Raja,Makanan dan Minuman
1014,Pisang Raja Sere (Susu),Makanan dan Minuman
1015,Pisang rotan segar,Makanan dan Minuman
1016,Pisang Siam goreng,Makanan dan Minuman
1017,Pisang talas segar,Makanan dan Minuman
1018,Prey (bawang daun),Makanan dan Minuman
1019,Pucuk lumai/daun leunca segar,Makanan dan Minuman
1020,Pulut,Makanan dan Minuman
1021,Punai daging goreng,Makanan dan Minuman
1022,Pundut nasi,Makanan dan Minuman
1023,Purundawa,Makanan dan Minuman
1024,Purut segar,Makanan dan Minuman
1025,Putri malu segar,Makanan dan Minuman
1026,Putri selat,Makanan dan Minuman
1027,Putu Mayang ,Makanan dan Minuman
1028,Ragi,Makanan dan Minuman
1029,Rajungan segar,Makanan dan Minuman
1030,Rambutan,Makanan dan Minuman
1031,Rambutan Aceh,Makanan dan Minuman
1032,Rambutan binjai segar,Makanan dan Minuman
1033,Rambutan sinyonya,Makanan dan Minuman
1034,Rarawuan ,Makanan dan Minuman
1035,Rasbi (Beras Ubi),Makanan dan Minuman
1036,Rasi (Beras Singkong),Makanan dan Minuman
1037,Rawon masakan,Makanan dan Minuman
1038,Rebon (udang kecil segar),Makanan dan Minuman
1039,Rebon kering,Makanan dan Minuman
1040,Rebon udang kecil segar,Makanan dan Minuman
1041,Rebung,Makanan dan Minuman
1042,Rebung laut mentah,Makanan dan Minuman
1043,Rempeyek kacang tolo,Makanan dan Minuman
1044,Rempeyek kacang uci,Makanan dan Minuman
1045,Rendang sapi masakan,Makanan dan Minuman
1046,Renggi goreng,Makanan dan Minuman
1047,Rimbang segar,Makanan dan Minuman
1048,Risoles ,Makanan dan Minuman
1049,Roti boong,Makanan dan Minuman
1050,Roti Gambang ,Makanan dan Minuman
1051,Roti Putih,Makanan dan Minuman
1052,Roti warna sawo matang,Makanan dan Minuman
1053,Rujak cingur,Makanan dan Minuman
1054,Rumput laut,Makanan dan Minuman
1055,Rusa daging dendeng mentah,Makanan dan Minuman
1056,Rusip,Makanan dan Minuman
1057,RW anjing masakan,Makanan dan Minuman
1058,Saga biji tanpa kulit,Makanan dan Minuman
1059,Sagu Ambon ,Makanan dan Minuman
1060,Sagu aren kering,Makanan dan Minuman
1061,Sagu aren segar,Makanan dan Minuman
1062,Sagu forno,Makanan dan Minuman
1063,Sagu kasbi segar,Makanan dan Minuman
1064,Sagu Lemak (Kue Sagon),Makanan dan Minuman
1065,Sagu lempeng,Makanan dan Minuman
1066,Sagu Rendang,Makanan dan Minuman
1067,Sagu singkong kering,Makanan dan Minuman
1068,Sagu sinole,Makanan dan Minuman
1069,Salak bali segar,Makanan dan Minuman
1070,Salak medan segar,Makanan dan Minuman
1071,Salak pondoh segar,Makanan dan Minuman
1072,Sale pisang siam,Makanan dan Minuman
1073,Santan (dengan air),Makanan dan Minuman
1074,Santan (kelapa saja),Makanan dan Minuman
1075,Santan murni,Makanan dan Minuman
1076,Saos Tomat,Makanan dan Minuman
1077,Sapi abon,Makanan dan Minuman
1078,Sapi babat segar,Makanan dan Minuman
1079,Sapi daging asap,Makanan dan Minuman
1080,Sapi daging dendeng mentah,Makanan dan Minuman
1081,Sapi daging gemuk segar,Makanan dan Minuman
1082,Sapi daging kornet,Makanan dan Minuman
1083,Sapi daging kurus segar,Makanan dan Minuman
1084,Sapi daging lemak sedang segar,Makanan dan Minuman
1085,Sapi daging sosis (Worst),Makanan dan Minuman
1086,Sapi daleman segar,Makanan dan Minuman
1087,Sapi dideh/darah,Makanan dan Minuman
1088,Sapi ginjal segar,Makanan dan Minuman
1089,Sapi hati sosis (liverworst),Makanan dan Minuman
1090,Sapi keleponan segar,Makanan dan Minuman
1091,Sapi liver segar,Makanan dan Minuman
1092,Sapi otak segar,Makanan dan Minuman
1093,Sapi paru dendeng mentah,Makanan dan Minuman
1094,Sapi paru goreng,Makanan dan Minuman
1095,Sapi usus segar,Makanan dan Minuman
1096,Sarang Burung,Makanan dan Minuman
1097,Sardines dalam kaleng,Makanan dan Minuman
1098,Sari Kedelai bubuk,Makanan dan Minuman
1099,Sarimuka,Makanan dan Minuman
1100,Sate Bandeng,Makanan dan Minuman
1101,Sate Kulit ,Makanan dan Minuman
1102,Sate penyu masakan,Makanan dan Minuman
1103,Sate pusut masakan,Makanan dan Minuman
1104,Sate Usus ,Makanan dan Minuman
1105,Sawi,Makanan dan Minuman
1106,Sawi putih / pecai segar,Makanan dan Minuman
1107,Sawi taiwan segar,Makanan dan Minuman
1108,Sawi tanah segar,Makanan dan Minuman
1109,Sawo,Makanan dan Minuman
1110,Sawo duren segar,Makanan dan Minuman
1111,Sawo kecik segar,Makanan dan Minuman
1112,Sawo Manila segar,Makanan dan Minuman
1113,Sayur asem,Makanan dan Minuman
1114,Sayur bunga pepaya,Makanan dan Minuman
1115,Sayur garu,Makanan dan Minuman
1116,Sayur kohu-kohu,Makanan dan Minuman
1117,Sayur lebui,Makanan dan Minuman
1118,Sayur lilin-terubuk,Makanan dan Minuman
1119,Sayur ndusuk,Makanan dan Minuman
1120,Sayur sop,Makanan dan Minuman
1121,Sayur umbut kelapa,Makanan dan Minuman
1122,Sayur umbut rotan,Makanan dan Minuman
1123,Selada,Makanan dan Minuman
1124,Selada Air,Makanan dan Minuman
1125,Selada Air rebus,Makanan dan Minuman
1126,Seledri,Makanan dan Minuman
1127,Semangka,Makanan dan Minuman
1128,Semur Jengkol ,Makanan dan Minuman
1129,Sente,Makanan dan Minuman
1130,Sente talas segar,Makanan dan Minuman
1131,Sepi masakan,Makanan dan Minuman
1132,Serbuk Coklat,Makanan dan Minuman
1133,Serimping talas kebumen,Makanan dan Minuman
1134,Setrup sirup,Makanan dan Minuman
1135,Shabu-shabu,Makanan dan Minuman
1136,Sie reuboh masakan,Makanan dan Minuman
1137,Singkah (rotan muda),Makanan dan Minuman
1138,Singkong Goreng ,Makanan dan Minuman
1139,Singkong kukus,Makanan dan Minuman
1140,Singkong tape,Makanan dan Minuman
1141,Siomay ,Makanan dan Minuman
1142,Sirsak,Makanan dan Minuman
1143,Sirup,Makanan dan Minuman
1144,Sop buntut masakan,Makanan dan Minuman
1145,Sop daging sapi masakan,Makanan dan Minuman
1146,Sop kaki sapi masakan,Makanan dan Minuman
1147,Sop kambing masakan,Makanan dan Minuman
1148,Sop konro masakan,Makanan dan Minuman
1149,Sop Kool,Makanan dan Minuman
1150,Sop Kool dan Wortel,Makanan dan Minuman
1151,Sop saudara masakan,Makanan dan Minuman
1152,Soto bandung masakan,Makanan dan Minuman
1153,Soto banjar masakan,Makanan dan Minuman
1154,Soto betawi masakan,Makanan dan Minuman
1155,Soto dengan Daging,Makanan dan Minuman
1156,Soto jeroan masakan,Makanan dan Minuman
1157,Soto kudus masakan,Makanan dan Minuman
1158,Soto madura masakan,Makanan dan Minuman
1159,Soto padang masakan,Makanan dan Minuman
1160,Soto pekalongan masakan,Makanan dan Minuman
1161,Soto pemalang masakan,Makanan dan Minuman
1162,Soto sukaraja masakan,Makanan dan Minuman
1163,Soto sulung masakan,Makanan dan Minuman
1164,Soto tanpa Daging ,Makanan dan Minuman
1165,Spaghetti,Makanan dan Minuman
1166,Srikaya,Makanan dan Minuman
1167,Sukiyaki masakan,Makanan dan Minuman
1168,Sukun muda segar,Makanan dan Minuman
1169,Sukun tua segar,Makanan dan Minuman
1170,Susu asam untuk bayi bubuk,Makanan dan Minuman
1171,Susu bubuk,Makanan dan Minuman
1172,Susu Kambing,Makanan dan Minuman
1173,Susu Kedelai,Makanan dan Minuman
1174,Susu Kental Manis,Makanan dan Minuman
1175,Susu Kental Tak Manis,Makanan dan Minuman
1176,Susu Kerbau,Makanan dan Minuman
1177,Susu Sapi,Makanan dan Minuman
1178,Susu Skim (tak berlemak),Makanan dan Minuman
1179,Susu skim bubuk,Makanan dan Minuman
1180,Susu skim segar,Makanan dan Minuman
1181,Susupan,Makanan dan Minuman
1182,Suweg kukus,Makanan dan Minuman
1183,Suweg mentah,Makanan dan Minuman
1184,Suweg talas segar,Makanan dan Minuman
1185,Suwir-suwir,Makanan dan Minuman
1186,Tahu,Makanan dan Minuman
1187,Tahu goreng,Makanan dan Minuman
1188,Tahu telur,Makanan dan Minuman
1189,Takwa,Makanan dan Minuman
1190,Talas bogor kukus,Makanan dan Minuman
1191,Talas pontianak segar,Makanan dan Minuman
1192,Talas viqueque segar,Makanan dan Minuman
1193,Tales kukus,Makanan dan Minuman
1194,Tales mentah,Makanan dan Minuman
1195,Taoco,Makanan dan Minuman
1196,Taoge goreng,Makanan dan Minuman
1197,Taoge kacang kedelai segar,Makanan dan Minuman
1198,Taoge seduh,Makanan dan Minuman
1199,Taoge segar,Makanan dan Minuman
1200,Taokoa,Makanan dan Minuman
1201,Tapai beras,Makanan dan Minuman
1202,Tapai ketan hitam,Makanan dan Minuman
1203,Tapai ketan putih,Makanan dan Minuman
1204,Tapai singkong,Makanan dan Minuman
1205,Tauco cap DAS cake,Makanan dan Minuman
1206,Tauji cap singa,Makanan dan Minuman
1207,Tebu Terubuk,Makanan dan Minuman
1208,Tedong pallu basa masakan,Makanan dan Minuman
1209,Teh,Makanan dan Minuman
1210,Teh hijau daun kering,Makanan dan Minuman
1211,Teh melati daun kering,Makanan dan Minuman
1212,Tekokak,Makanan dan Minuman
1213,Tekokak kering,Makanan dan Minuman
1214,Tekwan,Makanan dan Minuman
1215,Telur Ayam,Makanan dan Minuman
1216,Telur Ayam bagian kuning,Makanan dan Minuman
1217,Telur Ayam bagian putih,Makanan dan Minuman
